Date,Open,High,Low,Close,Adj Close,Volume
2018-03-27,0.300350,0.302600,0.299900,0.300350,0.300350,8172
2018-03-28,0.300200,0.301200,0.299000,0.300200,0.300200,19406
2018-03-29,0.300850,0.301000,0.300000,0.300850,0.300850,1657
2018-04-01,null,null,null,null,null,null
2018-04-02,0.300550,0.302550,0.300250,0.300550,0.300550,3091
2018-04-03,0.299150,0.302000,0.298450,0.299150,0.299150,1174
2018-04-04,0.298800,0.299750,0.295000,0.298800,0.298800,3251
2018-04-05,0.298950,0.303000,0.298000,0.298950,0.298950,2401
2018-04-06,0.295550,0.299400,0.295300,0.295550,0.295550,2217
2018-04-08,null,null,null,null,null,null
2018-04-09,0.293750,0.297000,0.290200,0.293750,0.293750,2564
2018-04-10,0.293200,0.293350,0.290550,0.293200,0.293200,4886
2018-04-11,0.295550,0.295900,0.291450,0.295550,0.295550,4466
2018-04-12,0.293750,0.296650,0.292050,0.293750,0.293750,4137
2018-04-13,0.291750,0.293850,0.291100,0.291750,0.291750,2414
2018-04-15,null,null,null,null,null,null
2018-04-16,0.292050,0.293100,0.289100,0.292050,0.292050,2546
2018-04-17,0.293500,0.294600,0.291050,0.293500,0.293500,3191
2018-04-18,0.296050,0.296050,0.293150,0.296050,0.296050,2015
2018-04-19,0.294750,0.295650,0.292950,0.294750,0.294750,6640
2018-04-20,0.293250,0.294500,0.292450,0.293250,0.293250,3264
2018-04-22,null,null,null,null,null,null
2018-04-23,0.289850,0.292550,0.289350,0.289850,0.289850,1200
2018-04-24,0.288200,0.291800,0.287150,0.288200,0.288200,1710
2018-04-25,0.285700,0.288000,0.284300,0.285700,0.285700,4275
2018-04-26,0.286850,0.287600,0.285050,0.286850,0.286850,9182
2018-04-27,0.290350,0.290350,0.286300,0.290350,0.290350,27048
2018-04-29,null,null,null,null,null,null
2018-04-30,0.287250,0.289350,0.287000,0.287250,0.287250,5818
2018-05-01,0.281350,0.284550,0.280400,0.281350,0.281350,2158
2018-05-02,0.281450,0.283500,0.280300,0.281450,0.281450,318
2018-05-03,0.282750,0.283150,0.279550,0.282750,0.282750,3988
2018-05-04,0.283250,0.283750,0.281100,0.283250,0.283250,3586
2018-05-06,null,null,null,null,null,null
2018-05-07,0.280800,0.282850,0.280400,0.280800,0.280800,2261
2018-05-08,0.279800,0.280500,0.277650,0.279800,0.279800,1412
2018-05-09,0.277250,0.280100,0.276500,0.277250,0.277250,3014
2018-05-10,0.281600,0.281700,0.277300,0.281600,0.281600,3102
2018-05-11,0.277300,0.282600,0.276300,0.277300,0.277300,3971
2018-05-13,null,null,null,null,null,null
2018-05-14,0.275700,0.279350,0.274250,0.275700,0.275700,5481
2018-05-15,0.273200,0.276200,0.270450,0.273200,0.273200,3025
2018-05-16,0.271150,0.272850,0.270050,0.271150,0.271150,4263
2018-05-17,0.269600,0.276000,0.269050,0.269600,0.269600,3162
2018-05-18,0.267100,0.269150,0.264550,0.267100,0.267100,3499
2018-05-20,null,null,null,null,null,null
2018-05-21,0.270850,0.271850,0.267300,0.270850,0.270850,2590
2018-05-22,0.274950,0.275250,0.272000,0.274950,0.274950,2605
2018-05-23,0.275550,0.278000,0.269800,0.275550,0.275550,3719
2018-05-24,0.273950,0.276300,0.273450,0.273950,0.273950,6596
2018-05-25,0.273100,0.275300,0.271850,0.273100,0.273100,5075
2018-05-27,null,null,null,null,null,null
2018-05-29,0.266450,0.274800,0.265200,0.266450,0.266450,13058
2018-05-30,0.267600,0.270900,0.265600,0.267600,0.267600,37170
2018-05-31,0.266550,0.267500,0.264400,0.266550,0.266550,4284
2018-06-01,0.264850,0.267850,0.264450,0.264850,0.264850,541
