btcopening,btcclosing,btcquantity,btcamount,daxopening,daxclosing,daxlowest,daxhighest,djiopening,djiclosing,djilowest,djihighest,hsiopening,hsiclosing,hsilowest,hsihighest,year,month,day,target
1896.01001,1870.06486,130.16287686,534.0,21.05697609488984,21.074989318847656,21.00293814085197,21.111015766763295,16516.19921875,16516.19921875,16516.19921875,16516.19921875,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,2016,1,12,1
1870.06485,1887.999,149.29887032,591.0,21.15604468218958,20.636375427246094,20.579635324339176,21.15604468218958,16151.400390625,16151.400390625,16151.400390625,16151.400390625,19934.900390625,19934.900390625,19934.900390625,19934.900390625,2016,1,13,0
1887.9989,1904.89997,72.19245392,397.0,20.596747779509233,20.77777671813965,20.56162319743472,20.90386584242532,16379.0,16379.0,16379.0,16379.0,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,2016,1,14,0
1904.89996,1764.98594,290.95555883,808.0,20.27341602501786,20.048255920410156,19.904153590888047,20.313044766878782,15988.099609375,15988.099609375,15988.099609375,15988.099609375,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,2016,1,15,1
1757.0,1715.00001,157.78104553,382.0,20.462554977033033,20.33646583557129,20.21127684002407,20.462554977033033,16016.0,16016.0,16016.0,16016.0,19635.80078125,19635.80078125,19635.80078125,19635.80078125,2016,1,19,1
1715.00001,1789.99999,173.80483499,571.0,19.94918800947564,19.967201232910156,19.841112104539608,19.989716903285537,15766.7001953125,15766.7001953125,15766.7001953125,15766.7001953125,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.09000000357627869,2016,1,20,0
1789.98,1774.0,138.0822631,349.0,20.120310654123504,20.19236183166504,19.877137285732488,20.27341962112871,15882.7001953125,15882.7001953125,15882.7001953125,15882.7001953125,18542.19921875,18542.19921875,18542.19921875,18542.19921875,2016,1,21,1
1774.0,1703.00327,112.44324845,430.0,20.535506421093803,20.550817489624023,20.535506421093803,20.550817489624023,16093.5,16093.5,16093.5,16093.5,19080.5,19080.5,19080.5,19080.5,2016,1,22,1
1750.0,1750.0,66.41416466,270.0,20.55261530688471,20.354475021362305,20.354475021362305,20.55261530688471,15885.2001953125,15885.2001953125,15885.2001953125,15885.2001953125,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.11999999731779099,2016,1,25,1
1731.00001,1755.43997,105.47873026,336.0,20.687713612083343,20.677806854248047,20.658893484425505,20.75075989599407,16167.2001953125,16167.2001953125,16167.2001953125,16167.2001953125,18860.80078125,18860.80078125,18860.80078125,18860.80078125,2016,1,26,0
1755.42999,1745.0,117.08548156,403.0,20.795792418365995,20.790388107299805,20.790388107299805,20.795792418365995,15944.5,15944.5,15944.5,15944.5,19052.400390625,19052.400390625,19052.400390625,19052.400390625,2016,1,27,1
1762.97999,1707.99999,128.51576824,411.0,20.44454308778782,20.489574432373047,20.381496800398544,20.525600882309778,16069.599609375,16069.599609375,16069.599609375,16069.599609375,0.10999999940395355,0.10999999940395355,0.10999999940395355,0.10999999940395355,2016,1,28,1
1692.99999,1709.99999,82.45764474,338.0,20.57063102722168,20.57063102722168,20.57063102722168,20.57063102722168,16466.30078125,16466.30078125,16466.30078125,16466.30078125,0.0989999994635582,0.09799999743700027,0.09399999678134918,0.0989999994635582,2016,1,29,0
1705.99999,1674.65,77.93155503,318.0,20.543611079825713,20.57963752746582,20.471559902381063,20.669701928730525,16449.19921875,16449.19921875,16449.19921875,16449.19921875,19595.5,19595.5,19595.5,19595.5,2016,2,1,1
1674.64,1676.99997,109.99824111,366.0,20.291432218878843,20.286027908325195,20.286027908325195,20.310345587981086,16153.5,16153.5,16153.5,16153.5,19446.80078125,19446.80078125,19446.80078125,19446.80078125,2016,2,2,0
1678.99969,1600.0,113.92559512,332.0,20.28242548348354,20.23739242553711,20.167143260110397,20.28242548348354,16336.7001953125,16336.7001953125,16336.7001953125,16336.7001953125,18991.599609375,18991.599609375,18991.599609375,18991.599609375,2016,2,3,1
1600.0,1627.00003,131.94253642,370.0,20.156334365850054,20.36168098449707,20.156334365850054,20.36168098449707,16416.599609375,16416.599609375,16416.599609375,16416.599609375,19183.099609375,19183.099609375,19183.099609375,19183.099609375,2016,2,4,0
1644.39999,1647.40125,53.71706388,247.0,20.146429752830947,19.99422264099121,19.99422264099121,20.146429752830947,16205.0,16205.0,16205.0,16205.0,19288.19921875,19288.19921875,19288.19921875,19288.19921875,2016,2,5,0
1629.99888,1564.0001,94.35841318,165.0,19.64297058525199,19.417810440063477,19.337654514048452,19.64297058525199,16027.0,16027.0,16027.0,16027.0,0.07900000363588333,0.07900000363588333,0.07900000363588333,0.07900000363588333,2016,2,8,1
1599.97998,1598.98999,57.96926844,146.0,19.17463783264606,19.480854034423828,19.17463783264606,19.588931654572534,16014.400390625,16014.400390625,16014.400390625,16014.400390625,0.07900000363588333,0.07900000363588333,0.07900000363588333,0.07900000363588333,2016,2,9,1
